t_sec,pid,cpu_raw,cpu_norm,rss_mb,peak_rss_mb,sys_cpu,sys_used_mb
0.00,82232,92.80,9.28,959.53,959.53,0.00,6302.11
0.52,82232,96.00,9.60,971.98,971.98,23.10,6264.22
1.03,82232,310.30,31.03,1084.56,1084.56,46.20,6356.67
1.53,82232,437.40,43.74,1091.34,1091.34,64.00,6299.47
2.03,82232,401.30,40.13,1093.30,1093.30,0.00,6289.36
2.54,82232,399.80,39.98,1094.11,1094.11,53.50,6289.31
3.04,82232,398.00,39.80,1094.84,1094.84,54.90,6286.73
3.54,82232,390.90,39.09,1096.08,1096.08,55.60,6290.78
4.05,82232,384.00,38.40,1096.72,1096.72,58.70,6309.72
4.55,82232,365.60,36.56,1097.19,1097.19,62.60,6361.16
5.05,82232,226.00,22.60,918.02,1097.19,0.00,6263.55
5.56,82232,0.40,0.04,918.02,1097.19,32.00,6275.52
6.06,82232,0.20,0.02,918.02,1097.19,62.50,6272.98
6.56,82232,0.30,0.03,918.02,1097.19,50.50,6277.06
7.07,82232,0.20,0.02,918.02,1097.19,0.00,6269.47
7.57,82232,0.20,0.02,918.02,1097.19,25.70,6283.91
8.07,82232,0.30,0.03,918.02,1097.19,26.30,6325.53
8.58,82232,0.30,0.03,918.02,1097.19,46.40,6391.33
9.08,82232,0.20,0.02,918.02,1097.19,25.90,6404.20
9.59,82232,0.20,0.02,918.02,1097.19,25.20,6516.44
10.09,82232,0.20,0.02,918.02,1097.19,22.70,6516.44
10.59,82232,0.10,0.01,918.02,1097.19,54.40,6529.73
11.10,82232,0.30,0.03,918.02,1097.19,60.40,6529.73
11.60,82232,0.30,0.03,918.02,1097.19,54.70,6516.28
12.11,82232,0.20,0.02,918.02,1097.19,0.00,6498.81
12.61,82232,0.20,0.02,918.02,1097.19,53.40,6471.56
13.12,82232,0.20,0.02,918.02,1097.19,53.40,6484.39
13.62,82232,0.20,0.02,918.02,1097.19,56.80,6494.53
14.13,82232,0.30,0.03,918.02,1097.19,0.00,6538.75
14.63,82232,0.20,0.02,918.02,1097.19,48.40,6453.67
15.13,82232,0.30,0.03,918.02,1097.19,0.00,6456.77
15.63,82232,0.30,0.03,918.02,1097.19,44.20,6455.06
16.14,82232,0.10,0.01,918.02,1097.19,31.70,6463.33
16.65,82232,0.20,0.02,918.02,1097.19,26.40,6459.64
17.15,82232,0.20,0.02,918.02,1097.19,0.00,6461.25
17.66,82232,0.10,0.01,918.02,1097.19,35.90,6550.23
18.16,82232,0.30,0.03,918.02,1097.19,26.90,6550.23
18.66,82232,0.20,0.02,918.02,1097.19,23.50,6575.22
19.17,82232,0.10,0.01,918.02,1097.19,23.40,6484.58
19.68,82232,0.20,0.02,916.92,1097.19,25.10,6452.66
20.18,82232,0.30,0.03,807.31,1097.19,48.20,6452.66
20.68,82232,0.20,0.02,807.31,1097.19,61.80,6451.25
21.19,82232,0.30,0.03,807.31,1097.19,54.40,6452.45
21.69,82232,0.20,0.02,807.31,1097.19,53.60,6450.95
22.19,82232,0.20,0.02,804.88,1097.19,0.00,6450.95
22.70,82232,0.30,0.03,804.88,1097.19,56.10,6412.17
23.20,82232,0.20,0.02,804.88,1097.19,59.00,6471.94
23.71,82232,0.30,0.03,804.88,1097.19,62.10,6470.92
