round,pulled_server_round,bytes_received_global,bytes_sent_update,train_sec,send_sec,ack_status,ack_current_round,rtt_sec,timestamp
0,0,7643,4083,5.205758,0.001233,WAITING,0,31.415018,2026-03-01 23:01:10
1,1,7643,4083,12.270910,0.002058,WAITING,1,0.307462,2026-03-01 23:01:23
2,2,7643,4083,12.069214,0.001179,WAITING,2,0.306811,2026-03-01 23:01:35
3,3,7643,4083,11.415386,0.001184,WAITING,3,0.613589,2026-03-01 23:01:47
4,4,7643,4083,10.403603,0.001130,WAITING,4,0.307036,2026-03-01 23:01:58
5,5,7643,4083,11.046656,0.001389,WAITING,5,0.908869,2026-03-01 23:02:10
6,6,7643,4083,12.203386,0.001045,WAITING,6,0.613092,2026-03-01 23:02:23
7,7,7643,4083,12.121111,0.003311,WAITING,7,0.613078,2026-03-01 23:02:35
8,8,7643,4083,11.254883,0.001792,WAITING,8,0.919834,2026-03-01 23:02:48
9,9,7643,4083,10.604616,0.001108,WAITING,9,0.611498,2026-03-01 23:02:59
10,10,7643,4083,10.401432,0.002004,WAITING,10,0.920967,2026-03-01 23:03:10
11,11,7643,4083,10.457495,0.001161,WAITING,11,10.403810,2026-03-01 23:03:31
12,12,7643,4083,10.816953,0.001149,WAITING,12,0.919925,2026-03-01 23:03:43
13,13,7643,4083,10.695650,0.003337,WAITING,13,0.615357,2026-03-01 23:03:54
14,14,7643,4083,11.260219,0.001338,WAITING,14,0.919103,2026-03-01 23:04:06
