round,pulled_server_round,bytes_received_global,bytes_sent_update,train_sec,send_sec,ack_status,ack_current_round,rtt_sec,timestamp
0,0,7643,4083,4.993873,0.000832,WAITING,0,19.225219,2026-03-01 22:42:57
1,1,7643,4083,11.651604,0.001774,WAITING,1,3.050016,2026-03-01 22:43:12
2,2,7643,4083,10.878459,0.001113,WAITING,2,0.918447,2026-03-01 22:43:24
3,3,7643,4083,10.426676,0.001160,WAITING,3,0.920547,2026-03-01 22:43:35
4,4,7643,4083,10.609770,0.001433,WAITING,4,0.612788,2026-03-01 22:43:46
5,5,7643,4083,10.643816,0.001061,WAITING,5,0.306795,2026-03-01 22:43:57
6,6,7643,4083,10.760993,0.000914,WAITING,6,0.307004,2026-03-01 22:44:08
7,7,7643,4083,10.783708,0.000834,WAITING,7,0.303732,2026-03-01 22:44:20
8,8,7643,4083,10.998820,0.002264,OK,9,0.310492,2026-03-01 22:44:31
9,9,7643,4083,11.025845,0.002932,OK,10,0.306862,2026-03-01 22:44:42
10,10,7643,4083,11.108685,0.001922,OK,11,0.309130,2026-03-01 22:44:54
11,11,7643,4083,10.960152,0.003039,OK,12,0.308972,2026-03-01 22:45:05
12,12,7643,4083,11.257194,0.000853,WAITING,12,9.191928,2026-03-01 22:45:25
13,13,7643,4083,11.531652,0.002959,OK,14,0.309986,2026-03-01 22:45:37
14,14,7643,4083,11.055136,0.002669,OK,15,0.307819,2026-03-01 22:45:49
