t_sec,pid,cpu_raw,cpu_norm,rss_mb,peak_rss_mb,sys_cpu,sys_used_mb
0.00,78960,92.20,9.22,956.38,956.38,0.00,5953.84
0.52,78960,96.50,9.65,967.95,967.95,0.00,5953.84
1.03,78960,329.70,32.97,1070.48,1070.48,27.90,5996.83
1.53,78960,445.30,44.53,1080.20,1080.20,0.00,5991.41
2.04,78960,404.40,40.44,1082.98,1082.98,59.40,5968.98
2.54,78960,401.40,40.14,1075.17,1082.98,51.20,5968.98
3.05,78960,333.80,33.38,1013.88,1082.98,64.30,5912.33
3.55,78960,320.10,32.01,1020.98,1082.98,84.90,5912.33
4.06,78960,324.20,32.42,1024.08,1082.98,80.50,5866.88
4.56,78960,326.10,32.61,1026.42,1082.98,80.10,5866.88
5.06,78960,329.20,32.92,1026.44,1082.98,79.00,5858.84
5.57,78960,177.20,17.72,746.09,1082.98,0.00,5859.50
6.07,78960,84.30,8.43,922.48,1082.98,83.30,5593.55
6.57,78960,126.10,12.61,879.78,1082.98,0.00,5572.70
7.08,78960,170.90,17.09,913.22,1082.98,99.00,5543.73
7.58,78960,145.30,14.53,941.67,1082.98,0.00,5549.22
8.08,78960,127.00,12.70,957.78,1082.98,99.90,5462.47
8.59,78960,141.60,14.16,968.02,1082.98,0.00,5461.45
9.09,78960,153.60,15.36,977.88,1082.98,99.50,5427.48
9.60,78960,141.20,14.12,986.16,1082.98,100.00,5427.48
10.10,78960,135.60,13.56,983.22,1082.98,99.90,5410.02
10.61,78960,151.30,15.13,998.30,1082.98,0.00,5410.02
11.12,78960,145.60,14.56,1005.19,1082.98,100.00,5384.70
11.62,78960,129.70,12.97,989.06,1082.98,0.00,5410.78
12.13,78960,136.10,13.61,1002.97,1082.98,99.80,5407.55
12.63,78960,126.60,12.66,1005.41,1082.98,0.00,5407.55
13.14,78960,117.60,11.76,1005.20,1082.98,99.90,5407.45
13.64,78960,141.80,14.18,1016.42,1082.98,99.60,5414.12
14.15,78960,137.30,13.73,1019.44,1082.98,100.00,5388.05
14.65,78960,145.70,14.57,1022.95,1082.98,100.00,5373.83
15.15,78960,140.70,14.07,1023.59,1082.98,99.90,5344.84
15.66,78960,153.30,15.33,1025.27,1082.98,100.00,5353.36
16.16,78960,136.70,13.67,1028.12,1082.98,100.00,5359.16
16.67,78960,135.20,13.52,1023.52,1082.98,0.00,5338.81
17.17,78960,151.50,15.15,1026.23,1082.98,100.00,5054.28
17.68,78960,197.00,19.70,1028.22,1082.98,98.60,5054.28
18.18,78960,35.30,3.53,849.12,1082.98,84.10,4599.25
18.68,78960,0.20,0.02,849.12,1082.98,0.00,4599.25
19.19,78960,0.20,0.02,849.12,1082.98,53.10,4632.30
19.69,78960,0.20,0.02,849.12,1082.98,0.00,4632.30
20.20,78960,0.20,0.02,849.12,1082.98,51.30,5328.00
20.70,78960,142.70,14.27,970.91,1082.98,0.00,5393.70
21.20,78960,148.60,14.86,924.66,1082.98,99.50,5364.61
21.71,78960,106.00,10.60,918.56,1082.98,100.00,5373.66
22.21,78960,142.20,14.22,936.22,1082.98,100.00,5362.81
22.72,78960,113.40,11.34,938.23,1082.98,100.00,5362.81
23.23,78960,143.10,14.31,966.12,1082.98,100.00,5356.08
23.73,78960,144.80,14.48,976.97,1082.98,100.00,5362.02
24.24,78960,151.20,15.12,984.59,1082.98,99.70,5355.73
24.74,78960,124.90,12.49,994.34,1082.98,100.00,5374.69
25.24,78960,155.50,15.55,994.81,1082.98,99.40,5363.00
25.74,78960,144.60,14.46,993.25,1082.98,0.00,5363.00
26.25,78960,161.30,16.13,1002.81,1082.98,100.00,5344.81
26.75,78960,135.30,13.53,1009.38,1082.98,0.00,5344.81
27.26,78960,162.50,16.25,1000.59,1082.98,99.90,5320.92
27.76,78960,137.10,13.71,939.47,1082.98,100.00,5290.64
28.27,78960,158.60,15.86,945.12,1082.98,99.80,5298.81
28.78,78960,158.40,15.84,922.39,1082.98,0.00,5298.81
29.28,78960,160.00,16.00,924.41,1082.98,99.90,5294.62
29.79,78960,147.90,14.79,886.98,1082.98,100.00,5294.62
30.29,78960,152.70,15.27,858.28,1082.98,100.00,5286.70
30.79,78960,174.90,17.49,862.69,1082.98,100.00,5286.70
31.30,78960,231.80,23.18,864.77,1082.98,98.30,4932.86
31.80,78960,95.60,9.56,710.06,1082.98,92.20,4932.86
32.30,78960,113.70,11.37,786.66,1082.98,68.30,5359.53
32.81,78960,140.80,14.08,797.03,1082.98,0.00,5359.53
33.31,78960,138.70,13.87,800.52,1082.98,99.90,5335.53
33.82,78960,157.50,15.75,775.88,1082.98,100.00,5341.52
34.32,78960,144.40,14.44,738.62,1082.98,100.00,5335.22
34.83,78960,121.50,12.15,759.72,1082.98,100.00,5322.39
35.33,78960,151.80,15.18,776.92,1082.98,100.00,5345.59
35.83,78960,136.00,13.60,785.02,1082.98,0.00,5333.11
36.34,78960,159.20,15.92,793.78,1082.98,100.00,5285.09
36.84,78960,127.60,12.76,794.12,1082.98,100.00,5292.95
37.35,78960,126.10,12.61,793.81,1082.98,99.90,5300.28
37.85,78960,153.80,15.38,798.53,1082.98,100.00,5278.44
38.36,78960,160.00,16.00,806.14,1082.98,100.00,5294.36
38.86,78960,159.80,15.98,811.02,1082.98,0.00,5300.34
39.36,78960,140.30,14.03,815.39,1082.98,99.60,5285.12
39.87,78960,144.00,14.40,821.42,1082.98,0.00,5274.42
40.38,78960,149.10,14.91,823.64,1082.98,100.00,5274.58
40.88,78960,153.30,15.33,825.44,1082.98,100.00,5280.14
41.39,78960,151.80,15.18,827.94,1082.98,100.00,5293.00
41.89,78960,155.20,15.52,833.97,1082.98,0.00,5293.00
42.40,78960,210.40,21.04,834.05,1082.98,99.30,4777.38
42.90,78960,226.70,22.67,657.12,1082.98,94.60,4598.31
43.41,78960,177.50,17.75,841.50,1082.98,65.00,4463.30
43.91,78960,130.60,13.06,819.45,1082.98,0.00,4463.30
44.42,78960,136.40,13.64,820.14,1082.98,94.50,5285.05
44.92,78960,142.00,14.20,820.06,1082.98,0.00,5285.05
45.43,78960,142.60,14.26,816.86,1082.98,100.00,5294.28
45.93,78960,155.40,15.54,821.78,1082.98,0.00,5294.28
46.44,78960,137.40,13.74,819.22,1082.98,100.00,5301.98
46.94,78960,157.70,15.77,815.25,1082.98,100.00,5297.20
47.44,78960,131.30,13.13,806.94,1082.98,100.00,5295.56
47.95,78960,148.40,14.84,810.00,1082.98,0.00,5319.02
