server_round,client_id,bytes_received_update,bytes_sent_global,num_samples,round_duration_sec,timestamp
0,client_0,4995,9467,60000,81.347566,2026-03-01 19:56:44
0,client_1,4995,9467,60000,81.347566,2026-03-01 19:56:44
0,client_2,4995,9467,60000,81.347566,2026-03-01 19:56:44
0,client_3,4995,9467,60000,81.347566,2026-03-01 19:56:44
0,client_4,4995,9467,60000,81.347566,2026-03-01 19:56:44
0,client_5,4995,9467,60000,81.347566,2026-03-01 19:56:44
1,client_5,4995,9467,60000,36.522981,2026-03-01 19:57:27
1,client_2,4995,9467,60000,36.522981,2026-03-01 19:57:27
1,client_1,4995,9467,60000,36.522981,2026-03-01 19:57:27
1,client_3,4995,9467,60000,36.522981,2026-03-01 19:57:27
1,client_4,4995,9467,60000,36.522981,2026-03-01 19:57:27
1,client_0,4995,9467,60000,36.522981,2026-03-01 19:57:27
2,client_0,4995,9467,60000,35.519151,2026-03-01 19:58:09
2,client_5,4995,9467,60000,35.519151,2026-03-01 19:58:09
2,client_3,4995,9467,60000,35.519151,2026-03-01 19:58:09
2,client_4,4995,9467,60000,35.519151,2026-03-01 19:58:09
2,client_1,4995,9467,60000,35.519151,2026-03-01 19:58:09
2,client_2,4995,9467,60000,35.519151,2026-03-01 19:58:09
3,client_2,4995,9467,60000,32.077561,2026-03-01 19:58:45
3,client_1,4995,9467,60000,32.077561,2026-03-01 19:58:45
3,client_0,4995,9467,60000,32.077561,2026-03-01 19:58:45
3,client_3,4995,9467,60000,32.077561,2026-03-01 19:58:45
3,client_4,4995,9467,60000,32.077561,2026-03-01 19:58:45
3,client_5,4995,9467,60000,32.077561,2026-03-01 19:58:45
4,client_1,4995,9467,60000,27.880494,2026-03-01 19:59:19
4,client_5,4995,9467,60000,27.880494,2026-03-01 19:59:19
4,client_3,4995,9467,60000,27.880494,2026-03-01 19:59:19
4,client_4,4995,9467,60000,27.880494,2026-03-01 19:59:19
4,client_2,4995,9467,60000,27.880494,2026-03-01 19:59:19
4,client_0,4995,9467,60000,27.880494,2026-03-01 19:59:19
5,client_3,4995,9467,60000,6.560606,2026-03-01 19:59:34
5,client_0,4995,9467,60000,6.560606,2026-03-01 19:59:34
5,client_4,4995,9467,60000,6.560606,2026-03-01 19:59:34
5,client_2,4995,9467,60000,6.560606,2026-03-01 19:59:34
5,client_5,4995,9467,60000,6.560606,2026-03-01 19:59:34
5,client_1,4995,9467,60000,6.560606,2026-03-01 19:59:34
0,client_0,1923,3323,60000,53.526124,2026-03-01 21:04:07
0,client_1,1923,3323,60000,53.526124,2026-03-01 21:04:07
0,client_2,1923,3323,60000,53.526124,2026-03-01 21:04:07
0,client_3,1923,3323,60000,53.526124,2026-03-01 21:04:07
0,client_4,1923,3323,60000,53.526124,2026-03-01 21:04:07
0,client_5,1923,3323,60000,53.526124,2026-03-01 21:04:07
1,client_5,1923,3323,60000,0.571607,2026-03-01 21:04:15
1,client_4,1923,3323,60000,0.571607,2026-03-01 21:04:15
1,client_3,1923,3323,60000,0.571607,2026-03-01 21:04:15
1,client_2,1923,3323,60000,0.571607,2026-03-01 21:04:15
1,client_1,1923,3323,60000,0.571607,2026-03-01 21:04:15
1,client_0,1923,3323,60000,0.571607,2026-03-01 21:04:15
2,client_5,1923,3323,60000,0.699604,2026-03-01 21:04:24
2,client_0,1923,3323,60000,0.699604,2026-03-01 21:04:24
2,client_1,1923,3323,60000,0.699604,2026-03-01 21:04:24
2,client_3,1923,3323,60000,0.699604,2026-03-01 21:04:24
2,client_4,1923,3323,60000,0.699604,2026-03-01 21:04:24
