round,pulled_server_round,bytes_received_global,bytes_sent_update,train_sec,send_sec,ack_status,ack_current_round,rtt_sec,timestamp
0,0,7643,4083,4.965070,0.000920,WAITING,0,41.459217,2026-03-01 23:01:10
1,1,7643,4083,12.075390,0.001888,WAITING,1,0.305084,2026-03-01 23:01:23
2,2,7643,4083,12.256241,0.002739,OK,3,0.306463,2026-03-01 23:01:35
3,3,7643,4083,11.549326,0.001962,OK,4,0.307975,2026-03-01 23:01:47
4,4,7643,4083,10.658448,0.002127,OK,5,0.307529,2026-03-01 23:01:58
5,5,7643,4083,11.400391,0.001114,WAITING,5,0.306351,2026-03-01 23:02:10
6,6,7643,4083,12.062494,0.002009,WAITING,6,0.611978,2026-03-01 23:02:23
7,7,7643,4083,12.282292,0.002063,WAITING,7,0.609034,2026-03-01 23:02:35
8,8,7643,4083,11.729979,0.001500,WAITING,8,0.303130,2026-03-01 23:02:48
9,9,7643,4083,10.750952,0.001511,WAITING,9,0.613448,2026-03-01 23:02:59
10,10,7643,4083,10.624197,0.001640,WAITING,10,0.914505,2026-03-01 23:03:10
11,11,7643,4083,10.824796,0.001330,WAITING,11,9.787516,2026-03-01 23:03:31
12,12,7643,4083,11.191166,0.002034,WAITING,12,0.615294,2026-03-01 23:03:43
13,13,7643,4083,10.943527,0.001561,WAITING,13,0.307292,2026-03-01 23:03:54
14,14,7643,4083,11.651746,0.001717,WAITING,14,0.307201,2026-03-01 23:04:06
