t_sec,pid,cpu_raw,cpu_norm,rss_mb,peak_rss_mb,sys_cpu,sys_used_mb
0.00,82380,92.80,9.28,962.16,962.16,0.00,6483.70
0.52,82380,96.60,9.66,975.16,975.16,25.60,6452.66
1.03,82380,301.40,30.14,1081.55,1081.55,46.60,6452.66
1.53,82380,441.90,44.19,1094.39,1094.39,61.60,6451.22
2.04,82380,402.80,40.28,1100.69,1100.69,54.80,6452.45
2.54,82380,395.20,39.52,1101.45,1101.45,53.70,6450.95
3.05,82380,392.20,39.22,1103.17,1103.17,0.00,6450.95
3.55,82380,384.50,38.45,1106.48,1106.48,56.20,6412.17
4.06,82380,374.90,37.49,1110.16,1110.16,59.00,6471.94
4.56,82380,372.00,37.20,1110.30,1110.30,61.80,6470.91
5.07,82380,258.40,25.84,933.33,1110.30,81.30,6381.69
5.57,82380,0.10,0.01,933.33,1110.30,32.90,6397.52
6.07,82380,0.20,0.02,933.33,1110.30,29.30,6387.20
6.58,82380,0.20,0.02,933.33,1110.30,25.80,6405.95
7.08,82380,0.20,0.02,933.33,1110.30,0.00,6405.95
7.59,82380,0.20,0.02,933.33,1110.30,36.00,6476.38
8.09,82380,0.20,0.02,933.33,1110.30,28.20,6461.81
8.60,82380,0.20,0.02,825.44,1110.30,30.40,6389.20
9.10,82380,0.30,0.03,825.44,1110.30,0.00,6405.42
9.61,82380,0.30,0.03,791.25,1110.30,41.50,6384.66
10.11,82380,0.20,0.02,791.25,1110.30,63.60,6379.06
10.65,82380,0.30,0.03,780.34,1110.30,63.30,6374.39
11.16,82380,0.30,0.03,780.34,1110.30,0.00,6374.61
11.66,82380,0.20,0.02,780.34,1110.30,58.70,6359.28
12.16,82380,0.30,0.03,780.34,1110.30,0.00,6359.28
12.67,82380,0.20,0.02,780.34,1110.30,55.10,6355.64
13.17,82380,0.20,0.02,780.34,1110.30,53.10,6339.25
13.68,82380,0.20,0.02,780.34,1110.30,46.80,6241.62
14.18,82380,0.40,0.04,780.34,1110.30,0.00,6241.62
14.68,82380,0.20,0.02,780.34,1110.30,13.80,6210.44
15.19,82380,0.30,0.03,780.34,1110.30,12.40,6210.55
15.69,82380,0.40,0.04,780.34,1110.30,13.40,6198.41
16.19,82380,0.20,0.02,780.34,1110.30,0.00,6198.41
16.70,82380,0.30,0.03,780.34,1110.30,17.00,6246.83
17.20,82380,0.20,0.02,780.34,1110.30,0.00,6246.83
17.70,82380,0.30,0.03,780.34,1110.30,20.50,6299.27
18.21,82380,0.30,0.03,780.34,1110.30,0.00,6296.25
18.71,82380,0.10,0.01,780.34,1110.30,49.10,6308.33
19.22,82380,0.20,0.02,780.34,1110.30,35.50,6289.12
19.72,82380,0.20,0.02,780.34,1110.30,28.30,6291.73
20.22,82380,0.10,0.01,780.34,1110.30,24.40,6342.19
20.72,82380,0.30,0.03,780.34,1110.30,40.00,6387.17
21.23,82380,0.20,0.02,746.98,1110.30,22.70,6385.22
21.73,82380,0.10,0.01,702.78,1110.30,22.80,6297.12
22.23,82380,0.20,0.02,686.20,1110.30,28.00,6237.67
22.74,82380,0.20,0.02,686.20,1110.30,22.80,6253.81
23.24,82380,0.20,0.02,686.20,1110.30,0.00,6253.81
23.75,82380,0.20,0.02,686.20,1110.30,58.70,6234.12
24.25,82380,0.20,0.02,686.20,1110.30,54.80,6234.12
24.75,82380,0.10,0.01,686.20,1110.30,56.00,6211.31
25.26,82380,0.30,0.03,686.20,1110.30,54.10,6211.31
25.76,82380,0.20,0.02,686.20,1110.30,57.00,6214.69
26.26,82380,0.20,0.02,686.20,1110.30,57.80,6214.69
26.76,82380,0.20,0.02,686.20,1110.30,58.40,6206.19
27.27,82380,0.20,0.02,686.20,1110.30,0.00,6206.19
27.77,82380,0.10,0.01,686.20,1110.30,40.90,6170.80
28.27,82380,0.20,0.02,686.20,1110.30,0.00,6172.39
28.78,82380,0.10,0.01,686.22,1110.30,38.50,6169.98
29.28,82380,0.20,0.02,686.22,1110.30,28.00,6193.78
29.78,82380,0.30,0.03,686.22,1110.30,39.70,6303.03
30.29,82380,0.20,0.02,686.22,1110.30,0.00,6317.19
30.79,82380,0.20,0.02,686.22,1110.30,25.50,6136.02
31.29,82380,0.20,0.02,686.22,1110.30,0.00,6136.02
31.79,82380,0.10,0.01,686.22,1110.30,24.00,6014.67
32.29,82380,0.20,0.02,686.22,1110.30,0.00,5980.52
32.80,82380,0.20,0.02,686.22,1110.30,37.80,5985.19
33.30,82380,0.20,0.02,686.22,1110.30,0.00,5985.19
33.81,82380,0.20,0.02,686.22,1110.30,56.90,5921.08
34.31,82380,0.20,0.02,686.22,1110.30,50.00,5921.08
34.82,82380,0.20,0.02,686.22,1110.30,53.10,5908.92
35.32,82380,0.30,0.03,686.22,1110.30,58.10,5908.92
35.83,82380,0.20,0.02,686.22,1110.30,52.90,5908.27
36.33,82380,0.20,0.02,686.22,1110.30,0.00,5908.27
36.84,82380,99.00,9.90,812.61,1110.30,60.00,5727.19
37.34,82380,126.60,12.66,840.31,1110.30,0.00,5727.19
37.84,82380,154.30,15.43,886.14,1110.30,98.60,5567.97
38.35,82380,122.60,12.26,899.61,1110.30,99.80,5559.27
38.85,82380,150.60,15.06,930.53,1110.30,99.80,5489.59
39.36,82380,158.10,15.81,906.92,1110.30,0.00,5489.59
39.86,82380,149.40,14.94,800.03,1110.30,100.00,5447.30
40.37,82380,135.30,13.53,741.83,1110.30,0.00,5437.16
40.87,82380,154.50,15.45,711.38,1110.30,99.80,5448.73
41.38,82380,128.10,12.81,663.45,1110.30,100.00,5448.73
41.88,82380,121.00,12.10,615.12,1110.30,100.00,5450.61
42.38,82380,96.00,9.60,581.55,1110.30,100.00,5433.92
42.89,82380,138.30,13.83,593.80,1110.30,99.80,5512.19
43.39,82380,131.90,13.19,594.38,1110.30,100.00,5512.19
43.90,82380,120.70,12.07,597.53,1110.30,99.70,5367.23
44.40,82380,128.60,12.86,606.66,1110.30,100.00,5367.23
44.91,82380,151.40,15.14,609.25,1110.30,100.00,5369.41
45.41,82380,133.70,13.37,587.84,1110.30,100.00,5392.53
45.92,82380,159.30,15.93,609.59,1110.30,100.00,5384.86
46.42,82380,143.00,14.30,613.28,1110.30,0.00,5372.23
46.93,82380,152.20,15.22,611.19,1110.30,100.00,5384.30
47.43,82380,153.90,15.39,612.59,1110.30,0.00,5396.81
47.94,82380,130.50,13.05,616.81,1110.30,100.00,5390.95
48.44,82380,182.50,18.25,621.84,1110.30,100.00,5229.64
48.95,82380,103.80,10.38,460.34,1110.30,85.90,4603.25
49.45,82380,143.70,14.37,789.34,1110.30,56.20,5425.73
49.95,82380,122.60,12.26,796.86,1110.30,99.40,5359.56
50.46,82380,147.30,14.73,808.67,1110.30,0.00,5359.56
50.96,82380,165.30,16.53,813.59,1110.30,100.00,5350.98
51.46,82380,125.70,12.57,797.09,1110.30,0.00,5350.98
51.96,82380,166.20,16.62,801.22,1110.30,100.00,5362.12
52.47,82380,141.30,14.13,782.73,1110.30,100.00,5362.12
52.97,82380,139.40,13.94,775.31,1110.30,100.00,5378.64
53.48,82380,147.40,14.74,788.14,1110.30,99.30,5378.64
53.98,82380,136.50,13.65,800.62,1110.30,99.80,5350.39
54.49,82380,170.10,17.01,805.34,1110.30,100.00,5350.39
54.99,82380,123.40,12.34,808.78,1110.30,100.00,5333.52
55.50,82380,141.60,14.16,816.66,1110.30,100.00,5336.91
56.00,82380,151.50,15.15,824.20,1110.30,100.00,5344.59
56.50,82380,140.10,14.01,828.16,1110.30,0.00,5344.59
57.01,82380,145.80,14.58,824.88,1110.30,99.90,5331.17
57.51,82380,134.10,13.41,833.62,1110.30,100.00,5305.53
58.02,82380,120.40,12.04,835.06,1110.30,100.00,5310.06
58.53,82380,149.60,14.96,836.25,1110.30,0.00,5272.77
59.03,82380,124.30,12.43,834.62,1110.30,99.90,5282.50
59.53,82380,143.30,14.33,842.70,1110.30,0.00,5285.03
60.03,82380,150.80,15.08,840.94,1110.30,99.80,5280.92
60.54,82380,132.00,13.20,842.56,1110.30,100.00,5280.92
61.04,82380,177.90,17.79,846.69,1110.30,98.00,4826.23
61.55,82380,70.10,7.01,853.53,1110.30,0.00,4311.09
62.05,82380,120.20,12.02,822.97,1110.30,80.50,5320.52
62.55,82380,128.20,12.82,820.20,1110.30,100.00,5298.09
63.05,82380,138.80,13.88,818.25,1110.30,100.00,5320.42
63.56,82380,153.20,15.32,822.22,1110.30,100.00,5317.41
64.06,82380,157.10,15.71,830.88,1110.30,100.00,5308.98
64.57,82380,154.10,15.41,835.20,1110.30,0.00,5308.98
65.07,82380,152.70,15.27,839.80,1110.30,100.00,5323.19
65.58,82380,152.30,15.23,833.59,1110.30,99.80,5323.19
66.08,82380,141.90,14.19,830.30,1110.30,100.00,5315.11
66.59,82380,148.60,14.86,817.19,1110.30,100.00,5325.72
67.09,82380,145.80,14.58,810.78,1110.30,99.90,5320.97
67.60,82380,166.40,16.64,810.94,1110.30,100.00,5330.58
68.10,82380,133.40,13.34,804.70,1110.30,100.00,5331.41
68.61,82380,148.10,14.81,811.39,1110.30,100.00,5315.56
69.11,82380,149.10,14.91,814.38,1110.30,100.00,5323.45
69.62,82380,161.20,16.12,822.86,1110.30,100.00,5310.23
70.12,82380,161.40,16.14,825.41,1110.30,100.00,5324.38
70.63,82380,161.30,16.13,831.77,1110.30,0.00,5324.38
71.13,82380,151.10,15.11,835.19,1110.30,99.90,5313.41
71.64,82380,142.80,14.28,838.33,1110.30,0.00,5313.41
72.14,82380,153.70,15.37,835.59,1110.30,99.90,5315.20
72.65,82380,181.60,18.16,836.47,1110.30,100.00,5318.53
73.15,82380,84.30,8.43,658.83,1110.30,86.30,4443.86
73.65,82380,59.00,5.90,825.09,1110.30,0.00,5021.28
74.16,82380,161.30,16.13,827.41,1110.30,84.90,5306.34
74.66,82380,151.00,15.10,828.03,1110.30,100.00,5314.48
75.17,82380,152.20,15.22,826.59,1110.30,100.00,5331.34
75.67,82380,161.10,16.11,827.03,1110.30,0.00,5333.77
76.18,82380,154.60,15.46,826.78,1110.30,100.00,5313.97
76.68,82380,164.60,16.46,823.42,1110.30,100.00,5313.97
77.19,82380,167.70,16.77,819.34,1110.30,100.00,5304.66
77.69,82380,163.60,16.36,823.34,1110.30,100.00,5304.66
78.20,82380,168.00,16.80,826.80,1110.30,100.00,5315.52
78.70,82380,161.00,16.10,822.73,1110.30,0.00,5315.52
79.21,82380,161.70,16.17,824.64,1110.30,99.90,5317.39
79.71,82380,160.90,16.09,825.78,1110.30,100.00,5308.95
80.22,82380,160.60,16.06,827.39,1110.30,100.00,5318.42
80.72,82380,159.10,15.91,832.88,1110.30,0.00,5318.42
81.23,82380,159.90,15.99,828.55,1110.30,99.90,5309.95
81.73,82380,166.60,16.66,828.44,1110.30,100.00,5309.95
82.24,82380,155.00,15.50,820.97,1110.30,99.80,5308.42
82.74,82380,161.20,16.12,817.11,1110.30,100.00,5308.42
83.25,82380,170.60,17.06,822.41,1110.30,100.00,5303.03
83.75,82380,223.20,22.32,827.19,1110.30,0.00,4978.34
84.26,82380,89.20,8.92,829.53,1110.30,96.90,4667.41
84.76,82380,203.50,20.35,823.67,1110.30,0.00,4667.41
85.27,82380,152.00,15.20,826.44,1110.30,87.70,5255.33
85.77,82380,147.00,14.70,823.44,1110.30,0.00,5255.33
86.27,82380,171.30,17.13,825.28,1110.30,100.00,5293.89
86.77,82380,153.10,15.31,820.88,1110.30,100.00,5294.61
87.28,82380,175.50,17.55,822.94,1110.30,99.90,5281.06
87.78,82380,150.70,15.07,831.16,1110.30,0.00,5281.78
88.29,82380,164.20,16.42,833.17,1110.30,100.00,5286.03
88.79,82380,161.50,16.15,825.66,1110.30,100.00,5283.41
89.30,82380,160.90,16.09,834.36,1110.30,100.00,5284.30
89.80,82380,172.50,17.25,836.31,1110.30,100.00,5284.30
90.31,82380,147.00,14.70,828.52,1110.30,99.90,5330.22
90.81,82380,142.70,14.27,812.08,1110.30,0.00,5318.11
91.32,82380,130.40,13.04,787.95,1110.30,99.90,5333.39
91.82,82380,157.60,15.76,783.89,1110.30,100.00,5326.33
92.33,82380,152.70,15.27,787.00,1110.30,100.00,5293.17
92.83,82380,154.10,15.41,798.52,1110.30,0.00,5293.17
93.34,82380,150.40,15.04,805.03,1110.30,99.80,5288.78
93.84,82380,138.80,13.88,814.89,1110.30,100.00,5272.36
94.35,82380,171.40,17.14,817.88,1110.30,100.00,5284.09
94.85,82380,147.00,14.70,826.17,1110.30,100.00,5284.09
95.36,82380,103.10,10.31,652.09,1110.30,100.00,5113.34
95.86,82380,0.30,0.03,652.09,1110.30,96.60,4763.73
96.37,82380,90.70,9.07,807.41,1110.30,67.20,5297.31
96.87,82380,159.40,15.94,820.44,1110.30,0.00,5262.05
97.38,82380,133.40,13.34,824.64,1110.30,99.90,5273.97
97.88,82380,148.80,14.88,829.73,1110.30,100.00,5275.89
98.39,82380,135.60,13.56,833.88,1110.30,100.00,5285.69
98.89,82380,162.70,16.27,841.05,1110.30,0.00,5262.58
99.40,82380,154.20,15.42,851.66,1110.30,99.80,5269.14
99.91,82380,148.20,14.82,846.23,1110.30,100.00,5269.14
100.41,82380,114.10,11.41,814.08,1110.30,100.00,5283.72
100.92,82380,166.20,16.62,824.92,1110.30,0.00,5283.72
101.42,82380,138.80,13.88,806.95,1110.30,100.00,5285.73
101.93,82380,152.30,15.23,785.03,1110.30,100.00,5285.73
102.43,82380,148.30,14.83,789.23,1110.30,100.00,5273.80
102.93,82380,152.80,15.28,801.16,1110.30,0.00,5276.64
103.44,82380,161.40,16.14,808.73,1110.30,100.00,5259.91
103.94,82380,141.40,14.14,817.66,1110.30,99.30,5260.58
104.45,82380,158.80,15.88,825.45,1110.30,100.00,5252.78
104.95,82380,142.90,14.29,824.06,1110.30,100.00,5251.16
105.46,82380,131.20,13.12,826.44,1110.30,99.70,5259.69
105.96,82380,145.40,14.54,827.86,1110.30,100.00,5261.25
106.47,82380,146.30,14.63,828.22,1110.30,99.80,5264.59
106.97,82380,142.40,14.24,832.16,1110.30,100.00,5248.17
107.48,82380,155.70,15.57,834.77,1110.30,100.00,5254.23
107.98,82380,151.00,15.10,835.34,1110.30,0.00,5254.23
108.49,82380,108.70,10.87,659.83,1110.30,99.10,4755.59
108.99,82380,10.90,1.09,842.92,1110.30,0.00,4763.02
109.50,82380,158.50,15.85,806.00,1110.30,80.90,5269.44
110.00,82380,150.30,15.03,816.44,1110.30,100.00,5258.17
110.51,82380,131.00,13.10,817.86,1110.30,100.00,5271.67
111.01,82380,157.40,15.74,805.27,1110.30,100.00,5276.61
111.52,82380,132.60,13.26,764.23,1110.30,100.00,5275.22
112.02,82380,145.20,14.52,778.62,1110.30,100.00,5276.20
112.52,82380,125.90,12.59,788.47,1110.30,99.70,5310.34
113.03,82380,154.10,15.41,794.42,1110.30,100.00,5310.34
