round,pulled_server_round,bytes_received_global,bytes_sent_update,train_sec,send_sec,ack_status,ack_current_round,rtt_sec,timestamp
0,0,4083,4083,5.095576,0.000971,WAITING,0,120.007950,2026-03-01 22:42:55
0,0,4083,4083,8.872435,0.003018,REJECTED: server_round=1,1,0.000000,2026-03-01 22:43:03
0,1,7643,4083,8.399366,0.002622,OK,2,0.308282,2026-03-01 22:43:12
1,2,7643,4083,11.421276,0.001903,OK,3,0.319705,2026-03-01 22:43:24
2,3,7643,4083,11.075383,0.002147,OK,4,0.309258,2026-03-01 22:43:35
3,4,7643,4083,10.837955,0.002051,OK,5,0.308972,2026-03-01 22:43:46
4,5,7643,4083,10.666062,0.002638,OK,6,0.308991,2026-03-01 22:43:57
5,6,7643,4083,10.774852,0.002213,OK,7,0.308574,2026-03-01 22:44:09
6,7,7643,4083,10.728548,0.002682,OK,8,0.305781,2026-03-01 22:44:20
7,8,7643,4083,10.794644,0.000780,WAITING,8,0.303402,2026-03-01 22:44:31
8,9,7643,4083,10.826097,0.001146,WAITING,9,0.610023,2026-03-01 22:44:42
9,10,7643,4083,10.900860,0.001029,WAITING,10,0.609127,2026-03-01 22:44:54
10,11,7643,4083,10.705005,0.000979,WAITING,11,0.306487,2026-03-01 22:45:05
11,12,7643,4083,20.567319,0.003864,OK,13,0.310103,2026-03-01 22:45:26
12,13,7643,4083,11.226944,0.001529,WAITING,13,0.305527,2026-03-01 22:45:37
13,14,7643,4083,10.918130,0.001031,WAITING,14,0.306566,2026-03-01 22:45:48
13,15,7643,4083,4.819257,0.000696,WAITING,15,120.157246,2026-03-01 22:47:53
13,15,7643,4083,4.636661,0.000701,WAITING,15,120.083312,2026-03-01 22:49:58
