t_sec,pid,cpu_raw,cpu_norm,rss_mb,peak_rss_mb,sys_cpu,sys_used_mb
0.00,78659,92.20,9.22,952.56,952.56,0.00,6750.08
0.51,78659,79.00,7.90,964.23,964.23,49.70,6750.08
1.01,78659,273.10,27.31,1066.02,1066.02,44.50,6746.56
1.52,78659,441.50,44.15,1080.58,1080.58,63.30,6747.59
2.02,78659,391.30,39.13,1083.77,1083.77,59.20,6690.78
2.53,78659,402.30,40.23,1084.59,1084.59,54.00,6684.81
3.03,78659,398.80,39.88,1085.48,1085.48,54.70,6678.58
3.54,78659,398.10,39.81,1086.55,1086.55,53.70,6678.58
4.04,78659,391.20,39.12,1087.56,1087.56,57.00,6668.70
4.55,78659,395.50,39.55,1091.03,1091.03,54.00,6666.23
5.05,78659,237.30,23.73,911.97,1091.03,37.90,6572.22
5.56,78659,0.40,0.04,911.97,1091.03,0.00,6622.20
6.06,78659,0.30,0.03,911.97,1091.03,19.00,6643.14
6.57,78659,0.30,0.03,911.97,1091.03,20.90,6637.50
7.07,78659,0.20,0.02,911.97,1091.03,26.90,6640.44
7.58,78659,0.20,0.02,911.97,1091.03,100.00,6643.20
8.08,78659,0.20,0.02,911.97,1091.03,44.40,6626.36
8.59,78659,0.20,0.02,911.97,1091.03,27.30,6640.80
9.09,78659,0.20,0.02,911.97,1091.03,23.30,6669.33
9.60,78659,0.30,0.03,911.97,1091.03,47.30,6720.97
10.10,78659,0.20,0.02,911.97,1091.03,25.40,6709.84
10.61,78659,0.20,0.02,911.97,1091.03,25.30,6709.00
11.11,78659,0.20,0.02,911.97,1091.03,25.30,6475.19
11.62,78659,0.20,0.02,911.97,1091.03,0.00,6474.66
12.12,78659,0.20,0.02,911.97,1091.03,39.10,6446.89
12.63,78659,0.30,0.03,911.97,1091.03,0.00,6450.17
13.13,78659,0.20,0.02,911.97,1091.03,57.90,6439.16
13.64,78659,0.20,0.02,911.97,1091.03,54.40,6440.14
14.14,78659,0.20,0.02,911.97,1091.03,55.10,6395.77
14.65,78659,0.20,0.02,911.97,1091.03,53.80,6399.03
15.15,78659,0.30,0.03,911.97,1091.03,54.60,6398.53
15.66,78659,0.30,0.03,911.97,1091.03,57.60,6398.53
16.16,78659,0.20,0.02,911.97,1091.03,37.70,6401.44
16.67,78659,0.20,0.02,911.97,1091.03,22.80,6403.83
17.17,78659,0.20,0.02,911.97,1091.03,60.80,6411.55
17.67,78659,0.10,0.01,911.97,1091.03,27.60,6413.42
18.18,78659,0.20,0.02,911.97,1091.03,29.20,6375.09
18.68,78659,0.20,0.02,911.97,1091.03,24.10,6384.25
19.19,78659,0.20,0.02,911.97,1091.03,25.00,6425.84
19.69,78659,0.20,0.02,911.97,1091.03,25.50,6425.84
20.20,78659,0.30,0.03,911.97,1091.03,44.30,6466.19
20.70,78659,0.20,0.02,635.52,1091.03,28.70,6441.95
21.20,78659,0.20,0.02,515.67,1091.03,24.70,6362.20
21.71,78659,0.20,0.02,515.67,1091.03,24.60,6381.56
22.21,78659,0.20,0.02,513.44,1091.03,63.30,6340.17
22.72,78659,0.30,0.03,513.44,1091.03,0.00,6337.33
23.22,78659,0.20,0.02,513.45,1091.03,56.90,6333.78
23.73,78659,0.20,0.02,513.45,1091.03,54.00,6333.78
24.23,78659,0.20,0.02,513.45,1091.03,54.00,6334.89
24.74,78659,0.20,0.02,513.45,1091.03,56.00,6338.83
25.24,78659,0.10,0.01,513.45,1091.03,57.60,6363.20
25.74,78659,0.30,0.03,513.45,1091.03,61.50,6364.83
26.25,78659,0.20,0.02,513.45,1091.03,25.70,6284.62
26.76,78659,0.20,0.02,513.47,1091.03,41.20,6301.62
27.26,78659,0.20,0.02,513.47,1091.03,55.80,6307.69
27.77,78659,0.10,0.01,513.47,1091.03,26.70,6297.47
28.27,78659,0.20,0.02,513.47,1091.03,23.10,6307.16
28.77,78659,0.20,0.02,513.50,1091.03,43.90,6307.16
29.28,78659,0.10,0.01,513.50,1091.03,27.80,6367.17
29.78,78659,0.20,0.02,513.50,1091.03,22.30,6338.36
30.29,78659,0.20,0.02,513.53,1091.03,23.10,6309.41
30.79,78659,0.10,0.01,513.19,1091.03,0.00,6157.55
31.30,78659,0.20,0.02,513.19,1091.03,24.70,6176.78
31.80,78659,0.30,0.03,513.19,1091.03,50.90,6170.11
32.31,78659,0.20,0.02,513.19,1091.03,60.80,6102.92
32.81,78659,0.20,0.02,513.19,1091.03,54.10,6102.92
33.32,78659,0.20,0.02,513.19,1091.03,54.60,6098.86
33.82,78659,0.20,0.02,513.19,1091.03,58.50,6121.81
34.33,78659,0.20,0.02,513.19,1091.03,55.90,6126.58
34.83,78659,0.20,0.02,513.19,1091.03,0.00,6143.19
35.34,78659,0.20,0.02,513.19,1091.03,62.60,6135.12
35.84,78659,0.20,0.02,513.19,1091.03,0.00,6043.44
36.34,78659,0.10,0.01,513.19,1091.03,58.60,6030.47
36.85,78659,0.20,0.02,513.19,1091.03,0.00,6024.30
37.35,78659,0.20,0.02,513.19,1091.03,27.60,6073.42
37.85,78659,0.20,0.02,513.19,1091.03,0.00,6196.58
38.36,78659,0.20,0.02,513.19,1091.03,33.60,6169.28
38.86,78659,0.20,0.02,513.19,1091.03,26.30,6137.31
39.37,78659,0.10,0.01,513.19,1091.03,24.10,5957.33
39.87,78659,0.20,0.02,513.19,1091.03,0.00,5953.84
40.37,78659,0.20,0.02,513.19,1091.03,27.90,5988.69
40.88,78659,0.20,0.02,513.19,1091.03,0.00,5991.41
