t_sec,pid,cpu_raw,cpu_norm,rss_mb,peak_rss_mb,sys_cpu,sys_used_mb
0.00,78739,92.10,9.21,955.22,955.22,0.00,6473.39
0.51,78739,96.60,9.66,968.17,968.17,24.90,6474.66
1.02,78739,309.70,30.97,1073.86,1073.86,0.00,6474.66
1.52,78739,437.30,43.73,1099.44,1099.44,39.10,6450.17
2.03,78739,399.70,39.97,1100.31,1100.31,0.00,6450.17
2.53,78739,397.40,39.74,1100.94,1100.94,56.50,6438.45
3.04,78739,392.30,39.23,1104.44,1104.44,60.30,6392.38
3.54,78739,392.60,39.26,1104.83,1104.83,54.30,6399.83
4.05,78739,390.40,39.04,1104.95,1104.95,54.70,6398.53
4.55,78739,391.40,39.14,1105.80,1105.80,56.40,6398.53
5.06,78739,211.70,21.17,927.06,1105.80,44.20,6398.53
5.56,78739,0.20,0.02,927.06,1105.80,21.10,6403.77
6.07,78739,0.30,0.03,927.06,1105.80,51.20,6403.83
6.58,78739,0.20,0.02,927.06,1105.80,38.40,6413.05
7.08,78739,0.20,0.02,927.06,1105.80,28.50,6373.86
7.58,78739,0.10,0.01,927.06,1105.80,24.60,6380.05
8.09,78739,0.20,0.02,927.06,1105.80,24.80,6424.94
8.59,78739,0.20,0.02,927.06,1105.80,25.40,6425.84
9.09,78739,0.30,0.03,927.06,1105.80,44.70,6474.98
9.60,78739,0.20,0.02,927.06,1105.80,27.60,6452.77
10.10,78739,0.20,0.02,874.88,1105.80,25.10,6377.94
10.61,78739,0.10,0.01,874.88,1105.80,22.80,6363.47
11.11,78739,0.30,0.03,848.42,1105.80,60.10,6339.45
11.62,78739,0.20,0.02,848.42,1105.80,62.50,6337.08
12.12,78739,0.30,0.03,848.42,1105.80,56.90,6333.78
12.63,78739,0.30,0.03,848.42,1105.80,54.30,6333.78
13.13,78739,0.20,0.02,848.42,1105.80,54.30,6334.98
13.64,78739,0.20,0.02,848.42,1105.80,55.20,6329.55
14.14,78739,0.30,0.03,848.42,1105.80,57.80,6363.09
14.65,78739,0.10,0.01,839.89,1105.80,61.00,6364.45
15.15,78739,0.20,0.02,839.89,1105.80,24.30,6268.33
15.66,78739,0.20,0.02,839.89,1105.80,32.90,6301.11
16.16,78739,0.10,0.01,839.89,1105.80,64.90,6308.34
16.67,78739,0.20,0.02,839.89,1105.80,27.50,6297.47
17.17,78739,0.10,0.01,839.89,1105.80,22.80,6307.16
17.69,78739,0.10,0.01,839.89,1105.80,37.60,6307.16
18.19,78739,0.30,0.03,839.89,1105.80,32.90,6397.11
18.70,78739,0.20,0.02,837.72,1105.80,24.10,6343.39
19.20,78739,0.10,0.01,803.50,1105.80,23.00,6305.84
19.70,78739,0.20,0.02,699.45,1105.80,25.00,6154.91
20.21,78739,0.20,0.02,699.45,1105.80,25.00,6171.50
20.71,78739,0.10,0.01,699.45,1105.80,47.20,6170.11
21.22,78739,0.30,0.03,699.45,1105.80,61.50,6102.92
21.72,78739,0.20,0.02,699.45,1105.80,54.10,6102.92
22.23,78739,0.20,0.02,699.45,1105.80,54.90,6098.88
22.73,78739,0.20,0.02,699.45,1105.80,57.20,6120.88
23.23,78739,0.20,0.02,699.45,1105.80,56.80,6124.91
23.74,78739,0.20,0.02,699.45,1105.80,53.80,6143.19
24.24,78739,0.20,0.02,699.47,1105.80,62.60,6153.33
24.75,78739,0.20,0.02,699.47,1105.80,0.00,6042.31
25.25,78739,0.20,0.02,699.47,1105.80,58.60,6030.31
