t_sec,pid,cpu_raw,cpu_norm,rss_mb,peak_rss_mb,sys_cpu,sys_used_mb
0.00,78885,88.60,8.86,954.62,954.62,0.00,6160.12
0.52,78885,96.20,9.62,967.95,967.95,0.00,6157.55
1.05,78885,291.40,29.14,1071.78,1071.78,32.40,6170.25
1.55,78885,433.80,43.38,1095.95,1095.95,61.40,6103.03
2.05,78885,399.10,39.91,1098.98,1098.98,54.10,6102.92
2.56,78885,394.50,39.45,1099.44,1099.44,54.90,6098.89
3.06,78885,386.30,38.63,1100.11,1100.11,57.30,6119.41
3.57,78885,386.90,38.69,1102.83,1102.83,56.60,6124.84
4.07,78885,373.30,37.33,1105.09,1105.09,58.80,6143.19
4.57,78885,362.40,36.24,1105.92,1105.92,62.80,6153.41
5.08,78885,289.00,28.90,927.44,1105.92,53.30,6042.25
5.58,78885,0.80,0.08,927.45,1105.92,58.90,6031.72
6.08,78885,0.30,0.03,927.45,1105.92,22.20,6025.20
6.59,78885,0.10,0.01,927.45,1105.92,27.10,6049.14
7.09,78885,0.30,0.03,927.45,1105.92,34.70,6196.58
7.59,78885,0.20,0.02,927.45,1105.92,34.40,6162.88
8.10,78885,0.20,0.02,921.12,1105.92,25.80,6137.31
8.60,78885,0.20,0.02,839.69,1105.92,24.30,5949.34
9.11,78885,0.30,0.03,743.00,1105.92,22.40,5953.84
9.62,78885,0.20,0.02,711.23,1105.92,27.70,5996.72
10.12,78885,0.30,0.03,703.06,1105.92,50.00,5991.41
10.62,78885,0.30,0.03,702.36,1105.92,60.70,5968.98
11.13,78885,0.20,0.02,702.36,1105.92,54.50,5968.98
11.63,78885,0.20,0.02,701.81,1105.92,57.30,5907.73
12.14,78885,0.30,0.03,701.81,1105.92,81.70,5912.33
12.64,78885,0.20,0.02,701.81,1105.92,80.90,5865.44
13.15,78885,0.30,0.03,701.81,1105.92,80.20,5866.88
13.65,78885,0.30,0.03,701.81,1105.92,78.90,5857.77
14.16,78885,0.30,0.03,701.81,1105.92,79.70,5859.50
14.66,78885,8.80,0.88,819.80,1105.92,83.20,5749.09
15.16,78885,123.90,12.39,892.84,1105.92,88.90,5566.05
15.67,78885,109.00,10.90,870.23,1105.92,99.10,5559.72
16.17,78885,140.50,14.05,897.86,1105.92,94.70,5546.75
16.68,78885,126.90,12.69,912.91,1105.92,99.90,5509.11
17.18,78885,121.40,12.14,939.45,1105.92,100.00,5451.08
17.69,78885,136.60,13.66,948.47,1105.92,99.40,5433.23
18.19,78885,137.60,13.76,965.77,1105.92,100.00,5427.48
18.70,78885,156.00,15.60,976.20,1105.92,99.80,5409.11
19.20,78885,139.80,13.98,990.78,1105.92,100.00,5410.02
19.71,78885,150.00,15.00,1002.28,1105.92,100.00,5424.81
20.21,78885,130.00,13.00,1002.05,1105.92,100.00,5393.45
20.71,78885,128.40,12.84,988.84,1105.92,99.90,5395.00
21.22,78885,152.30,15.23,1003.89,1105.92,99.70,5407.55
21.72,78885,111.30,11.13,1006.91,1105.92,99.90,5372.02
22.23,78885,132.40,13.24,1004.16,1105.92,99.80,5411.84
22.73,78885,153.20,15.32,1002.11,1105.92,100.00,5373.48
23.23,78885,149.00,14.90,1008.00,1105.92,100.00,5355.33
23.74,78885,137.10,13.71,1009.91,1105.92,99.80,5349.56
24.24,78885,143.80,14.38,1011.75,1105.92,100.00,5349.56
24.74,78885,141.40,14.14,1009.77,1105.92,100.00,5325.70
25.25,78885,93.80,9.38,1006.11,1105.92,100.00,5338.81
25.75,78885,135.10,13.51,1001.98,1105.92,100.00,5361.36
26.26,78885,167.00,16.70,1010.83,1105.92,99.40,5054.28
