round,pulled_server_round,bytes_received_global,bytes_sent_update,train_sec,send_sec,ack_status,ack_current_round,rtt_sec,timestamp
0,0,7643,4083,5.265882,0.000783,WAITING,0,9.459081,2026-03-01 22:42:58
1,1,7643,4083,12.347661,0.001265,WAITING,1,2.134130,2026-03-01 22:43:12
2,2,7643,4083,11.427928,0.001125,WAITING,2,0.307288,2026-03-01 22:43:24
3,3,7643,4083,10.698792,0.000834,WAITING,3,0.609738,2026-03-01 22:43:35
4,4,7643,4083,10.605470,0.001379,WAITING,4,0.613292,2026-03-01 22:43:46
5,5,7643,4083,10.696792,0.001463,WAITING,5,0.307571,2026-03-01 22:43:57
6,6,7643,4083,10.528162,0.001323,WAITING,6,0.613030,2026-03-01 22:44:09
7,7,7643,4083,10.467726,0.001008,WAITING,7,0.306374,2026-03-01 22:44:19
8,8,7643,4083,10.225687,0.001336,WAITING,8,1.223032,2026-03-01 22:44:31
9,9,7643,4083,10.479317,0.001806,WAITING,9,0.919393,2026-03-01 22:44:42
10,10,7643,4083,10.532003,0.001722,WAITING,10,0.919350,2026-03-01 22:44:54
11,11,7643,4083,10.444786,0.001211,WAITING,11,0.612566,2026-03-01 22:45:05
12,12,7643,4083,10.649957,0.003483,WAITING,12,10.107248,2026-03-01 22:45:25
13,13,7643,4083,11.086542,0.001531,WAITING,13,0.613680,2026-03-01 22:45:37
14,14,7643,4083,10.793654,0.001072,WAITING,14,0.612622,2026-03-01 22:45:49
