round,pulled_server_round,bytes_received_global,bytes_sent_update,train_sec,send_sec,ack_status,ack_current_round,rtt_sec,timestamp
0,0,7643,4083,5.002171,0.003096,OK,1,0.307967,2026-03-01 23:01:10
1,1,7643,4083,12.289408,0.002780,OK,2,0.309526,2026-03-01 23:01:23
2,2,7643,4083,11.938397,0.001572,WAITING,2,0.308767,2026-03-01 23:01:35
3,3,7643,4083,11.493321,0.000945,WAITING,3,0.306969,2026-03-01 23:01:47
4,4,7643,4083,10.716739,0.000805,WAITING,4,0.306696,2026-03-01 23:01:58
5,5,7643,4083,11.588980,0.002292,OK,6,0.306940,2026-03-01 23:02:10
6,6,7643,4083,12.469281,0.002959,OK,7,0.307106,2026-03-01 23:02:23
7,7,7643,4083,12.411443,0.001111,WAITING,7,0.308156,2026-03-01 23:02:36
8,8,7643,4083,11.753179,0.001247,WAITING,8,0.307261,2026-03-01 23:02:48
9,9,7643,4083,11.129796,0.000942,WAITING,9,0.301873,2026-03-01 23:02:59
10,10,7643,4083,10.902435,0.001034,WAITING,10,0.305039,2026-03-01 23:03:10
11,11,7643,4083,20.575896,0.005082,OK,12,0.311315,2026-03-01 23:03:31
12,12,7643,4083,11.380300,0.001174,WAITING,12,0.304214,2026-03-01 23:03:43
13,13,7643,4083,11.039647,0.000882,WAITING,13,0.305796,2026-03-01 23:03:54
14,14,7643,4083,11.709843,0.001520,WAITING,14,0.307126,2026-03-01 23:04:06
