round,pulled_server_round,bytes_received_global,bytes_sent_update,train_sec,send_sec,ack_status,ack_current_round,rtt_sec,timestamp
0,0,7643,4083,5.540149,0.003669,OK,1,0.311188,2026-03-01 22:42:58
1,1,7643,4083,12.087549,0.001117,WAITING,1,2.447214,2026-03-01 22:43:12
2,2,7643,4083,11.272288,0.001599,WAITING,2,0.302753,2026-03-01 22:43:24
3,3,7643,4083,10.976594,0.001318,WAITING,3,0.306918,2026-03-01 22:43:35
4,4,7643,4083,10.893935,0.001084,WAITING,4,0.306802,2026-03-01 22:43:46
5,5,7643,4083,10.268829,0.002281,WAITING,5,0.920753,2026-03-01 22:43:57
6,6,7643,4083,10.400543,0.001541,WAITING,6,0.613691,2026-03-01 22:44:08
7,7,7643,4083,10.495495,0.001474,WAITING,7,0.611160,2026-03-01 22:44:20
8,8,7643,4083,10.505934,0.001002,WAITING,8,0.612914,2026-03-01 22:44:31
9,9,7643,4083,10.481619,0.001810,WAITING,9,0.918386,2026-03-01 22:44:42
10,10,7643,4083,10.650377,0.001105,WAITING,10,0.607837,2026-03-01 22:44:53
11,11,7643,4083,10.211639,0.001344,WAITING,11,1.225975,2026-03-01 22:45:05
12,12,7643,4083,10.735149,0.001579,WAITING,12,9.804554,2026-03-01 22:45:25
13,13,7643,4083,11.070935,0.002211,WAITING,13,0.614191,2026-03-01 22:45:37
14,14,7643,4083,10.982707,0.000663,WAITING,14,0.306233,2026-03-01 22:45:48
