t_sec,pid,cpu_raw,cpu_norm,rss_mb,peak_rss_mb,sys_cpu,sys_used_mb
0.00,82309,96.00,9.60,958.22,958.22,0.00,6516.44
0.51,82309,96.40,9.64,976.78,976.78,22.60,6516.44
1.01,82309,370.30,37.03,1081.08,1081.08,53.70,6528.41
1.52,82309,435.20,43.52,1105.03,1105.03,61.40,6529.73
2.02,82309,394.90,39.49,1105.75,1105.75,54.20,6524.47
2.53,82309,395.90,39.59,1106.42,1106.42,56.80,6498.81
3.03,82309,392.20,39.22,1107.23,1107.23,53.50,6471.56
3.54,82309,395.00,39.50,1109.81,1109.81,53.00,6484.33
4.04,82309,382.80,38.28,1112.78,1112.78,56.30,6494.50
4.55,82309,369.50,36.95,1114.16,1114.16,65.20,6538.75
5.05,82309,161.70,16.17,936.22,1114.16,48.40,6453.64
5.56,82309,0.40,0.04,936.22,1114.16,0.00,6456.80
6.06,82309,0.30,0.03,936.22,1114.16,44.30,6452.53
6.57,82309,0.20,0.02,936.22,1114.16,32.30,6463.33
7.07,82309,0.20,0.02,936.22,1114.16,26.40,6458.14
7.58,82309,0.20,0.02,936.22,1114.16,0.00,6461.25
8.08,82309,0.20,0.02,936.22,1114.16,36.10,6550.23
8.59,82309,0.30,0.03,936.22,1114.16,27.10,6550.23
9.09,82309,0.20,0.02,936.22,1114.16,23.30,6573.19
9.60,82309,0.20,0.02,936.22,1114.16,23.80,6483.64
10.10,82309,0.20,0.02,936.22,1114.16,25.00,6452.66
10.61,82309,0.30,0.03,935.17,1114.16,45.50,6452.66
11.11,82309,0.20,0.02,935.17,1114.16,61.90,6451.36
11.62,82309,0.30,0.03,935.17,1114.16,54.90,6452.50
12.12,82309,0.30,0.03,935.17,1114.16,53.60,6450.95
12.63,82309,0.20,0.02,892.86,1114.16,0.00,6450.95
13.13,82309,0.30,0.03,892.86,1114.16,56.20,6412.17
13.64,82309,0.30,0.03,892.86,1114.16,59.10,6471.94
14.14,82309,0.20,0.02,892.86,1114.16,61.10,6470.39
14.65,82309,0.30,0.03,892.86,1114.16,82.30,6381.56
15.15,82309,0.20,0.02,892.86,1114.16,33.90,6397.50
15.65,82309,0.20,0.02,892.86,1114.16,29.50,6391.39
16.16,82309,0.20,0.02,892.86,1114.16,25.90,6404.77
16.66,82309,0.10,0.01,892.86,1114.16,0.00,6405.95
17.17,82309,0.30,0.03,891.27,1114.16,36.00,6474.41
17.67,82309,0.20,0.02,816.72,1114.16,28.70,6460.12
18.17,82309,0.20,0.02,490.02,1114.16,30.60,6390.50
18.68,82309,0.30,0.03,490.02,1114.16,18.50,6404.00
19.18,82309,0.20,0.02,490.02,1114.16,41.00,6384.53
19.69,82309,0.20,0.02,490.02,1114.16,63.50,6378.36
20.20,82309,0.30,0.03,490.02,1114.16,62.50,6405.03
20.76,82309,0.30,0.03,490.03,1114.16,100.00,6374.61
21.26,82309,0.30,0.03,490.05,1114.16,58.70,6359.28
21.76,82309,0.20,0.02,490.05,1114.16,0.00,6359.28
22.27,82309,0.20,0.02,490.05,1114.16,55.10,6355.64
22.77,82309,0.30,0.03,490.05,1114.16,53.10,6339.25
23.28,82309,0.10,0.01,490.05,1114.16,46.80,6241.62
23.78,82309,0.30,0.03,490.05,1114.16,0.00,6241.62
24.29,82309,0.20,0.02,490.05,1114.16,13.80,6210.44
24.79,82309,0.30,0.03,490.05,1114.16,12.60,6210.55
25.30,82309,0.40,0.04,490.05,1114.16,13.40,6198.41
25.80,82309,0.20,0.02,490.05,1114.16,0.00,6198.41
26.30,82309,0.30,0.03,490.05,1114.16,17.00,6246.83
26.80,82309,0.30,0.03,490.05,1114.16,0.00,6246.83
27.30,82309,0.20,0.02,490.05,1114.16,20.50,6299.27
27.81,82309,0.20,0.02,490.05,1114.16,0.00,6296.25
28.31,82309,0.20,0.02,490.05,1114.16,49.10,6308.34
