round,pulled_server_round,bytes_received_global,bytes_sent_update,train_sec,send_sec,ack_status,ack_current_round,rtt_sec,timestamp
0,0,7643,4083,5.054570,0.000931,WAITING,0,40.337130,2026-03-01 22:42:58
1,1,7643,4083,12.093804,0.001583,WAITING,1,2.449245,2026-03-01 22:43:12
2,2,7643,4083,10.896329,0.001454,WAITING,2,0.612853,2026-03-01 22:43:24
3,3,7643,4083,10.397416,0.001136,WAITING,3,1.223702,2026-03-01 22:43:35
4,4,7643,4083,10.567955,0.001173,WAITING,4,0.612992,2026-03-01 22:43:46
5,5,7643,4083,10.589280,0.000970,WAITING,5,0.306585,2026-03-01 22:43:57
6,6,7643,4083,10.778162,0.001034,WAITING,6,0.302812,2026-03-01 22:44:08
7,7,7643,4083,10.799357,0.000902,WAITING,7,0.306735,2026-03-01 22:44:20
8,8,7643,4083,10.661500,0.000976,WAITING,8,0.608722,2026-03-01 22:44:31
9,9,7643,4083,10.738031,0.000828,WAITING,9,0.611925,2026-03-01 22:44:42
10,10,7643,4083,10.819405,0.000953,WAITING,10,0.613933,2026-03-01 22:44:54
11,11,7643,4083,10.659405,0.000903,WAITING,11,0.613891,2026-03-01 22:45:05
12,12,7643,4083,10.876528,0.000920,WAITING,12,9.490899,2026-03-01 22:45:25
13,13,7643,4083,11.403623,0.001702,WAITING,13,0.307267,2026-03-01 22:45:37
14,14,7643,4083,11.194726,0.000989,WAITING,14,0.303162,2026-03-01 22:45:49
