round,pulled_server_round,bytes_received_global,bytes_sent_update,train_sec,send_sec,ack_status,ack_current_round,rtt_sec,timestamp
0,0,7643,4083,5.043737,0.000928,WAITING,0,50.681373,2026-03-01 23:01:10
1,1,7643,4083,12.416721,0.001505,WAITING,1,0.308023,2026-03-01 23:01:23
2,2,7643,4083,11.656248,0.001449,WAITING,2,0.609670,2026-03-01 23:01:35
3,3,7643,4083,11.031988,0.001995,WAITING,3,0.920044,2026-03-01 23:01:47
4,4,7643,4083,10.106088,0.001226,WAITING,4,0.919511,2026-03-01 23:01:58
5,5,7643,4083,11.156235,0.001146,WAITING,5,0.612986,2026-03-01 23:02:10
6,6,7643,4083,12.393225,0.001223,WAITING,6,0.307556,2026-03-01 23:02:23
7,7,7643,4083,12.180692,0.002245,WAITING,7,0.614453,2026-03-01 23:02:35
8,8,7643,4083,11.294251,0.002344,WAITING,8,0.920736,2026-03-01 23:02:48
9,9,7643,4083,10.687231,0.001024,WAITING,9,0.613479,2026-03-01 23:02:59
10,10,7643,4083,10.685653,0.001322,WAITING,10,0.611430,2026-03-01 23:03:10
11,11,7643,4083,10.917104,0.001783,WAITING,11,9.805004,2026-03-01 23:03:31
12,12,7643,4083,11.347240,0.001966,WAITING,12,0.308330,2026-03-01 23:03:43
13,13,7643,4083,10.906169,0.001756,WAITING,13,0.606813,2026-03-01 23:03:54
14,14,7643,4083,11.648160,0.001161,WAITING,14,0.305473,2026-03-01 23:04:06
