t_sec,cpu_raw,cpu_norm,rss_mb,peak_rss_mb
463.60,0.80,0.08,271.83,528.38
464.11,0.60,0.06,271.83,528.38
464.61,1.00,0.10,271.83,528.38
465.12,1.10,0.11,271.83,528.38
465.62,0.60,0.06,271.83,528.38
466.13,0.80,0.08,271.83,528.38
466.63,1.10,0.11,271.83,528.38
467.13,0.50,0.05,271.83,528.38
467.64,0.80,0.08,271.83,528.38
468.14,0.50,0.05,271.83,528.38
468.65,0.90,0.09,271.83,528.38
469.15,1.10,0.11,271.83,528.38
469.66,0.50,0.05,271.83,528.38
470.16,0.80,0.08,271.83,528.38
470.67,0.80,0.08,271.83,528.38
471.17,0.70,0.07,271.83,528.38
471.68,0.80,0.08,271.83,528.38
472.18,0.80,0.08,271.83,528.38
472.69,0.60,0.06,271.83,528.38
473.19,1.00,0.10,271.83,528.38
473.70,0.90,0.09,271.83,528.38
474.20,0.50,0.05,271.83,528.38
474.71,0.80,0.08,271.83,528.38
475.21,0.80,0.08,271.83,528.38
475.72,0.50,0.05,271.83,528.38
476.22,0.90,0.09,271.83,528.38
476.73,0.80,0.08,271.83,528.38
477.23,0.50,0.05,271.83,528.38
477.74,1.00,0.10,271.83,528.38
478.24,0.50,0.05,271.83,528.38
478.74,0.80,0.08,271.83,528.38
479.25,0.70,0.07,271.83,528.38
479.75,0.60,0.06,271.83,528.38
480.26,0.90,0.09,271.83,528.38
480.76,0.90,0.09,271.83,528.38
481.27,0.50,0.05,271.83,528.38
481.77,0.80,0.08,271.83,528.38
482.28,0.80,0.08,271.83,528.38
482.78,0.50,0.05,271.83,528.38
483.29,0.80,0.08,271.83,528.38
483.79,0.90,0.09,271.83,528.38
484.29,0.60,0.06,271.83,528.38
484.80,0.80,0.08,271.83,528.38
485.30,1.00,0.10,271.83,528.38
485.81,0.40,0.04,271.83,528.38
486.31,0.90,0.09,271.83,528.38
486.82,0.50,0.05,271.83,528.38
487.32,1.00,0.10,271.83,528.38
487.83,0.70,0.07,271.83,528.38
488.33,0.60,0.06,271.83,528.38
488.84,0.80,0.08,271.83,528.38
489.34,0.80,0.08,271.83,528.38
489.84,0.50,0.05,271.83,528.38
490.35,0.80,0.08,271.83,528.38
490.85,0.90,0.09,271.83,528.38
491.36,0.60,0.06,271.83,528.38
491.86,0.90,0.09,271.83,528.38
492.36,0.80,0.08,271.83,528.38
492.87,0.50,0.05,271.83,528.38
493.37,0.80,0.08,271.83,528.38
493.88,1.00,0.10,271.83,528.38
494.38,0.50,0.05,271.83,528.38
494.88,1.10,0.11,271.83,528.38
495.39,0.80,0.08,271.83,528.38
495.89,1.00,0.10,271.83,528.38
496.40,0.80,0.08,271.83,528.38
496.90,0.50,0.05,271.83,528.38
497.41,1.00,0.10,271.83,528.38
497.91,0.90,0.09,271.83,528.38
498.42,0.60,0.06,271.83,528.38
498.92,0.90,0.09,271.83,528.38
499.42,0.90,0.09,271.83,528.38
499.93,0.60,0.06,271.83,528.38
500.43,0.90,0.09,271.83,528.38
500.94,0.80,0.08,271.83,528.38
501.44,0.70,0.07,271.83,528.38
501.95,0.90,0.09,271.83,528.38
502.45,0.50,0.05,271.83,528.38
502.95,0.70,0.07,271.83,528.38
503.45,0.90,0.09,271.83,528.38
503.96,0.60,0.06,271.83,528.38
504.46,0.80,0.08,271.83,528.38
504.97,0.90,0.09,271.83,528.38
505.47,0.60,0.06,271.83,528.38
505.98,0.80,0.08,271.83,528.38
506.48,0.90,0.09,271.83,528.38
506.98,0.50,0.05,271.83,528.38
507.49,1.00,0.10,271.83,528.38
507.99,0.80,0.08,271.83,528.38
508.50,0.50,0.05,271.83,528.38
509.00,0.90,0.09,271.83,528.38
509.51,1.00,0.10,271.83,528.38
510.02,0.50,0.05,271.83,528.38
510.52,0.80,0.08,271.83,528.38
511.02,0.80,0.08,271.83,528.38
511.53,0.70,0.07,271.83,528.38
512.03,0.80,0.08,271.83,528.38
512.54,0.50,0.05,271.83,528.38
513.04,0.80,0.08,271.83,528.38
513.55,1.00,0.10,271.83,528.38
514.06,0.70,0.07,271.83,528.38
514.56,0.90,0.09,271.83,528.38
515.07,0.80,0.08,271.83,528.38
515.57,0.70,0.07,271.83,528.38
516.08,1.00,0.10,271.83,528.38
516.58,0.80,0.08,271.83,528.38
517.08,0.50,0.05,271.83,528.38
517.59,0.90,0.09,271.83,528.38
518.09,1.00,0.10,271.83,528.38
518.60,0.60,0.06,271.83,528.38
519.10,0.80,0.08,271.83,528.38
519.60,0.80,0.08,271.83,528.38
520.10,0.60,0.06,271.83,528.38
520.60,0.80,0.08,271.83,528.38
521.11,0.50,0.05,271.83,528.38
521.61,0.80,0.08,271.83,528.38
522.11,1.20,0.12,271.83,528.38
522.62,0.60,0.06,271.83,528.38
523.12,1.00,0.10,271.83,528.38
523.63,0.80,0.08,271.83,528.38
524.13,0.50,0.05,271.83,528.38
524.64,1.10,0.11,271.83,528.38
525.14,1.00,0.10,271.83,528.38
525.65,0.60,0.06,271.83,528.38
526.15,0.80,0.08,271.83,528.38
526.66,1.00,0.10,271.83,528.38
527.16,0.70,0.07,271.84,528.38
527.66,0.80,0.08,271.84,528.38
528.16,0.80,0.08,271.84,528.38
528.67,0.80,0.08,271.84,528.38
529.17,0.80,0.08,271.84,528.38
529.68,0.70,0.07,271.84,528.38
530.18,0.90,0.09,271.84,528.38
530.69,1.00,0.10,271.84,528.38
531.19,0.80,0.08,271.84,528.38
531.69,1.10,0.11,271.84,528.38
532.20,1.20,0.12,271.84,528.38
532.71,0.60,0.06,271.84,528.38
533.21,1.00,0.10,271.84,528.38
533.72,0.80,0.08,271.84,528.38
534.22,0.60,0.06,271.84,528.38
534.73,0.90,0.09,271.84,528.38
535.23,1.00,0.10,271.84,528.38
535.74,0.60,0.06,271.84,528.38
536.24,0.90,0.09,271.84,528.38
536.75,0.80,0.08,271.84,528.38
537.25,0.70,0.07,271.84,528.38
537.76,0.90,0.09,271.84,528.38
538.26,0.80,0.08,271.84,528.38
538.77,0.50,0.05,271.84,528.38
539.28,1.00,0.10,271.84,528.38
539.78,0.60,0.06,271.84,528.38
540.28,1.10,0.11,271.84,528.38
540.79,0.90,0.09,271.84,528.38
541.29,0.60,0.06,271.84,528.38
541.79,1.00,0.10,271.84,528.38
542.30,0.90,0.09,271.84,528.38
542.80,0.60,0.06,271.84,528.38
543.31,0.90,0.09,271.84,528.38
543.81,1.00,0.10,271.84,528.38
544.32,0.60,0.06,271.84,528.38
544.82,1.00,0.10,271.84,528.38
545.32,1.00,0.10,271.84,528.38
545.83,0.90,0.09,271.84,528.38
546.33,0.90,0.09,271.84,528.38
546.84,0.50,0.05,271.84,528.38
547.34,1.00,0.10,271.84,528.38
547.84,1.10,0.11,271.84,528.38
548.35,0.70,0.07,271.84,528.38
548.85,1.00,0.10,271.84,528.38
549.35,1.10,0.11,271.84,528.38
549.86,0.60,0.06,271.84,528.38
550.36,1.10,0.11,271.84,528.38
550.87,0.90,0.09,271.84,528.38
551.37,0.60,0.06,271.84,528.38
551.88,0.80,0.08,271.84,528.38
552.38,1.00,0.10,271.84,528.38
552.89,0.60,0.06,271.84,528.38
553.39,0.90,0.09,271.84,528.38
553.90,0.80,0.08,271.84,528.38
554.40,1.20,0.12,271.84,528.38
554.91,1.20,0.12,271.84,528.38
555.41,0.60,0.06,271.84,528.38
555.92,0.90,0.09,271.84,528.38
556.42,1.10,0.11,271.84,528.38
556.93,0.60,0.06,271.84,528.38
557.43,1.10,0.11,271.84,528.38
557.94,0.90,0.09,271.84,528.38
558.44,0.60,0.06,271.84,528.38
558.95,1.00,0.10,271.84,528.38
559.45,1.00,0.10,271.84,528.38
559.96,0.50,0.05,271.84,528.38
560.46,0.70,0.07,271.84,528.38
560.96,0.10,0.01,271.84,528.38
561.47,0.10,0.01,271.84,528.38
561.97,0.10,0.01,271.84,528.38
562.48,0.10,0.01,271.84,528.38
562.98,0.10,0.01,271.84,528.38
563.49,0.10,0.01,271.84,528.38
563.99,0.10,0.01,271.84,528.38
564.50,0.30,0.03,271.84,528.38
565.00,1.10,0.11,271.84,528.38
565.51,0.90,0.09,271.84,528.38
566.01,0.60,0.06,271.84,528.38
566.52,1.00,0.10,271.84,528.38
567.02,0.60,0.06,271.84,528.38
567.53,1.10,0.11,271.84,528.38
568.03,0.90,0.09,271.84,528.38
568.54,0.70,0.07,271.84,528.38
569.04,1.00,0.10,271.84,528.38
569.55,1.10,0.11,271.84,528.38
570.05,0.60,0.06,271.84,528.38
570.56,0.90,0.09,271.84,528.38
571.06,0.90,0.09,271.84,528.38
571.56,0.70,0.07,271.84,528.38
572.07,1.00,0.10,271.84,528.38
572.58,1.00,0.10,271.84,528.38
573.08,0.60,0.06,271.84,528.38
573.58,1.10,0.11,271.84,528.38
574.09,0.60,0.06,271.84,528.38
574.59,1.00,0.10,271.84,528.38
575.10,0.80,0.08,271.84,528.38
575.61,0.70,0.07,271.84,528.38
576.11,1.00,0.10,271.84,528.38
576.62,1.10,0.11,271.84,528.38
577.12,0.70,0.07,271.84,528.38
577.62,0.90,0.09,271.84,528.38
578.13,1.10,0.11,271.84,528.38
578.63,0.70,0.07,271.84,528.38
579.14,0.90,0.09,271.84,528.38
579.64,0.90,0.09,271.84,528.38
580.14,0.60,0.06,271.84,528.38
580.65,0.90,0.09,271.84,528.38
581.15,0.70,0.07,271.84,528.38
581.66,0.90,0.09,271.84,528.38
582.16,0.80,0.08,271.84,528.38
582.67,0.60,0.06,271.84,528.38
583.17,0.80,0.08,271.84,528.38
583.68,0.80,0.08,271.84,528.38
584.18,0.50,0.05,271.84,528.38
584.68,1.10,0.11,271.84,528.38
585.19,1.20,0.12,271.84,528.38
585.69,0.60,0.06,271.84,528.38
586.20,0.80,0.08,271.84,528.38
586.70,1.10,0.11,271.84,528.38
587.21,0.80,0.08,271.84,528.38
587.71,0.90,0.09,271.84,528.38
588.21,0.80,0.08,271.84,528.38
588.72,0.50,0.05,271.84,528.38
589.22,0.90,0.09,271.84,528.38
589.72,0.60,0.06,271.84,528.38
590.23,0.90,0.09,271.84,528.38
590.73,0.80,0.08,271.84,528.38
591.24,0.60,0.06,271.84,528.38
591.74,0.90,0.09,271.84,528.38
592.24,0.90,0.09,271.84,528.38
592.75,0.40,0.04,271.84,528.38
593.25,0.90,0.09,271.84,528.38
593.76,0.90,0.09,271.84,528.38
594.26,0.60,0.06,271.84,528.38
594.77,0.80,0.08,271.84,528.38
595.28,0.90,0.09,271.84,528.38
595.78,0.50,0.05,271.84,528.38
596.29,0.90,0.09,271.84,528.38
596.79,0.70,0.07,271.84,528.38
597.30,0.60,0.06,271.84,528.38
597.80,1.00,0.10,271.84,528.38
598.31,0.70,0.07,271.84,528.38
598.81,1.10,0.11,271.84,528.38
599.32,0.90,0.09,271.84,528.38
599.82,0.60,0.06,271.84,528.38
600.32,0.90,0.09,271.84,528.38
600.82,0.90,0.09,271.84,528.38
601.33,0.50,0.05,271.84,528.38
601.83,0.90,0.09,271.84,528.38
602.34,0.90,0.09,271.84,528.38
602.84,0.60,0.06,271.84,528.38
603.35,0.80,0.08,271.84,528.38
603.85,1.00,0.10,271.84,528.38
604.36,0.60,0.06,271.84,528.38
604.86,0.90,0.09,271.84,528.38
605.37,0.80,0.08,271.84,528.38
605.87,0.60,0.06,271.84,528.38
606.38,1.00,0.10,271.84,528.38
606.88,0.80,0.08,271.84,528.38
607.38,0.90,0.09,271.84,528.38
607.89,1.00,0.10,271.84,528.38
608.40,0.60,0.06,271.84,528.38
608.90,0.90,0.09,271.84,528.38
609.40,0.90,0.09,271.84,528.38
609.91,0.70,0.07,271.84,528.38
610.41,0.90,0.09,271.84,528.38
610.92,0.90,0.09,271.84,528.38
611.42,0.60,0.06,271.84,528.38
611.93,1.00,0.10,271.84,528.38
612.43,1.00,0.10,271.84,528.38
612.94,0.60,0.06,271.84,528.38
613.44,0.90,0.09,271.84,528.38
613.95,1.10,0.11,271.84,528.38
614.45,0.70,0.07,271.84,528.38
614.95,1.10,0.11,271.84,528.38
615.46,0.70,0.07,271.84,528.38
615.96,0.90,0.09,271.84,528.38
616.47,1.00,0.10,271.84,528.38
616.97,0.70,0.07,271.84,528.38
617.47,0.90,0.09,271.84,528.38
617.98,0.90,0.09,271.84,528.38
618.48,0.70,0.07,271.84,528.38
618.98,0.80,0.08,271.84,528.38
619.49,0.90,0.09,271.84,528.38
619.99,0.60,0.06,271.84,528.38
620.50,1.10,0.11,271.84,528.38
621.00,0.90,0.09,271.84,528.38
621.51,0.70,0.07,271.84,528.38
622.02,1.00,0.10,271.84,528.38
622.52,0.80,0.08,271.84,528.38
623.03,0.80,0.08,271.84,528.38
623.53,0.90,0.09,271.84,528.38
624.03,0.60,0.06,271.84,528.38
624.54,0.90,0.09,271.84,528.38
625.04,1.00,0.10,271.84,528.38
625.55,0.80,0.08,271.84,528.38
626.05,1.00,0.10,271.84,528.38
626.56,0.80,0.08,271.84,528.38
627.06,0.70,0.07,271.84,528.38
627.57,1.00,0.10,271.84,528.38
628.07,0.50,0.05,271.86,528.38
628.58,0.30,0.03,271.86,528.38
629.09,0.70,0.07,271.86,528.38
629.60,0.70,0.07,271.86,528.38
630.11,1.10,0.11,271.86,528.38
630.61,1.00,0.10,271.86,528.38
631.12,0.60,0.06,271.86,528.38
631.63,1.10,0.11,271.86,528.38
632.14,1.00,0.10,271.86,528.38
632.66,0.70,0.07,271.86,528.38
633.16,0.80,0.08,271.86,528.38
633.67,1.00,0.10,271.86,528.38
634.18,0.70,0.07,271.86,528.38
634.68,1.10,0.11,271.86,528.38
1000.98,0.30,0.03,271.86,528.38
1001.48,0.30,0.03,271.86,528.38
1001.99,0.60,0.06,271.86,528.38
1002.49,0.50,0.05,271.86,528.38
1003.00,0.70,0.07,271.86,528.38
1003.50,0.60,0.06,271.86,528.38
1004.01,1.10,0.11,271.86,528.38
1004.51,1.10,0.11,271.86,528.38
1005.02,0.80,0.08,271.86,528.38
1005.52,0.80,0.08,271.86,528.38
1006.02,1.10,0.11,271.86,528.38
1006.53,0.30,0.03,271.86,528.38
1007.03,1.10,0.11,271.86,528.38
1007.54,0.40,0.04,271.86,528.38
1008.04,0.60,0.06,271.86,528.38
1008.55,0.80,0.08,271.86,528.38
1009.05,1.00,0.10,271.86,528.38
1009.55,0.30,0.03,271.86,528.38
1010.06,0.40,0.04,271.86,528.38
1010.56,0.30,0.03,271.86,528.38
1011.07,1.10,0.11,271.86,528.38
1011.57,1.10,0.11,271.86,528.38
1012.08,0.50,0.05,271.86,528.38
1012.58,1.10,0.11,271.86,528.38
1013.09,1.00,0.10,271.86,528.38
1013.59,0.60,0.06,271.86,528.38
1014.10,0.90,0.09,271.86,528.38
1014.60,1.10,0.11,271.86,528.38
1015.11,0.80,0.08,271.86,528.38
1015.61,1.10,0.11,271.86,528.38
1016.12,0.70,0.07,271.86,528.38
1016.63,0.40,0.04,271.86,528.38
1017.13,0.40,0.04,271.86,528.38
1017.63,0.40,0.04,271.86,528.38
1018.14,0.60,0.06,271.86,528.38
1018.64,0.50,0.05,271.86,528.38
1019.15,0.40,0.04,271.86,528.38
1019.65,0.50,0.05,271.86,528.38
1020.16,0.50,0.05,271.88,528.38
1020.66,0.30,0.03,271.88,528.38
1021.16,1.10,0.11,271.88,528.38
1021.67,0.40,0.04,271.89,528.38
1022.18,0.60,0.06,271.89,528.38
1022.68,0.80,0.08,271.89,528.38
1023.18,1.10,0.11,271.89,528.38
1023.69,0.60,0.06,271.89,528.38
1024.19,0.40,0.04,271.89,528.38
1024.70,0.30,0.03,271.89,528.38
1025.20,0.60,0.06,271.89,528.38
1025.71,1.00,0.10,271.89,528.38
1026.22,0.70,0.07,271.89,528.38
1026.72,1.10,0.11,271.89,528.38
1027.23,0.30,0.03,271.89,528.38
1027.73,0.20,0.02,271.89,528.38
1028.24,0.30,0.03,271.89,528.38
1028.74,0.30,0.03,271.89,528.38
1029.25,0.20,0.02,271.89,528.38
1029.75,0.40,0.04,271.89,528.38
1030.25,0.50,0.05,271.89,528.38
1030.76,0.20,0.02,271.89,528.38
1031.26,0.50,0.05,271.89,528.38
1031.77,0.50,0.05,271.89,528.38
