round,pulled_server_round,bytes_received_global,bytes_sent_update,train_sec,send_sec,ack_status,ack_current_round,rtt_sec,timestamp
0,0,7643,4083,5.005129,0.000723,WAITING,0,9.475460,2026-03-01 23:01:10
1,1,7643,4083,11.779227,0.003440,WAITING,1,0.924204,2026-03-01 23:01:23
2,2,7643,4083,11.677957,0.001491,WAITING,2,0.613468,2026-03-01 23:01:35
3,3,7643,4083,11.369143,0.001240,WAITING,3,0.612782,2026-03-01 23:01:47
4,4,7643,4083,10.684882,0.000983,WAITING,4,0.307203,2026-03-01 23:01:58
5,5,7643,4083,11.562818,0.001536,WAITING,5,0.304473,2026-03-01 23:02:10
6,6,7643,4083,12.492301,0.000885,WAITING,6,0.306982,2026-03-01 23:02:23
7,7,7643,4083,12.533591,0.002969,OK,8,0.310016,2026-03-01 23:02:36
8,8,7643,4083,11.698343,0.002975,OK,9,0.310232,2026-03-01 23:02:48
9,9,7643,4083,11.065650,0.001054,WAITING,9,0.308057,2026-03-01 23:02:59
10,10,7643,4083,10.985709,0.000940,WAITING,10,0.303761,2026-03-01 23:03:10
11,11,7643,4083,11.158078,0.000956,WAITING,11,9.491105,2026-03-01 23:03:31
12,12,7643,4083,11.582904,0.002708,OK,13,0.305537,2026-03-01 23:03:43
13,13,7643,4083,11.119384,0.002404,OK,14,0.308511,2026-03-01 23:03:54
14,14,7643,4083,11.746983,0.002086,OK,15,0.304440,2026-03-01 23:04:06
