t_sec,pid,cpu_raw,cpu_norm,rss_mb,peak_rss_mb,sys_cpu,sys_used_mb
0.00,82636,89.10,8.91,947.86,947.86,0.00,6136.02
0.53,82636,95.90,9.59,959.78,959.78,24.00,6033.02
1.04,82636,296.40,29.64,1068.22,1068.22,37.80,5967.12
1.55,82636,439.90,43.99,1082.19,1082.19,0.00,5985.19
2.05,82636,403.50,40.35,1083.08,1083.08,57.80,5922.39
2.56,82636,396.80,39.68,1083.38,1083.38,52.60,5921.08
3.06,82636,395.20,39.52,1084.19,1084.19,53.10,5927.06
3.57,82636,399.50,39.95,1084.66,1084.66,54.20,5908.92
4.07,82636,398.00,39.80,1085.41,1085.41,52.90,5904.45
4.58,82636,398.90,39.89,1089.52,1089.52,52.80,5908.27
5.08,82636,178.40,17.84,724.66,1089.52,55.00,5823.36
5.59,82636,117.20,11.72,960.77,1089.52,97.40,5727.19
6.09,82636,145.60,14.56,897.47,1089.52,98.30,5565.08
6.59,82636,123.50,12.35,910.09,1089.52,99.80,5559.27
7.10,82636,136.20,13.62,939.50,1089.52,99.80,5506.56
7.60,82636,137.40,13.74,949.28,1089.52,100.00,5489.59
8.11,82636,130.90,13.09,967.86,1089.52,100.00,5443.52
8.61,82636,119.90,11.99,974.92,1089.52,100.00,5437.16
9.11,82636,142.60,14.26,981.56,1089.52,99.80,5435.47
9.62,82636,133.90,13.39,993.22,1089.52,100.00,5448.73
10.12,82636,132.90,13.29,992.17,1089.52,100.00,5432.83
10.62,82636,144.90,14.49,999.23,1089.52,100.00,5433.92
11.13,82636,125.80,12.58,997.11,1089.52,99.90,5512.19
11.63,82636,139.60,13.96,1005.95,1089.52,99.60,5512.19
12.14,82636,145.20,14.52,1005.53,1089.52,99.60,5410.00
12.64,82636,138.80,13.88,1009.55,1089.52,100.00,5367.23
13.15,82636,129.40,12.94,1015.12,1089.52,100.00,5365.30
13.65,82636,125.20,12.52,1008.56,1089.52,100.00,5402.33
14.16,82636,141.20,14.12,1015.56,1089.52,100.00,5382.08
14.66,82636,133.30,13.33,1023.81,1089.52,100.00,5372.23
15.17,82636,123.90,12.39,1024.98,1089.52,100.00,5387.28
15.67,82636,127.30,12.73,1024.78,1089.52,0.00,5396.81
16.17,82636,147.60,14.76,1028.33,1089.52,100.00,5385.67
16.68,82636,136.10,13.61,1028.80,1089.52,100.00,5229.64
17.18,82636,181.30,18.13,1038.23,1089.52,99.00,4942.25
17.69,82636,165.90,16.59,855.16,1089.52,60.20,5425.73
18.19,82636,118.20,11.82,985.69,1089.52,99.20,5359.56
18.69,82636,146.00,14.60,1012.11,1089.52,100.00,5359.56
19.19,82636,137.10,13.71,1003.31,1089.52,100.00,5361.22
19.70,82636,138.90,13.89,978.83,1089.52,100.00,5350.98
20.20,82636,141.20,14.12,976.23,1089.52,100.00,5357.14
20.70,82636,134.40,13.44,983.75,1089.52,100.00,5362.12
21.21,82636,137.50,13.75,980.72,1089.52,100.00,5362.89
21.71,82636,142.80,14.28,996.36,1089.52,99.40,5378.64
22.22,82636,147.60,14.76,1012.77,1089.52,100.00,5343.88
22.72,82636,113.00,11.30,1015.19,1089.52,99.80,5350.39
23.23,82636,121.90,12.19,1021.08,1089.52,100.00,5358.08
23.73,82636,148.80,14.88,1025.66,1089.52,100.00,5336.91
24.24,82636,142.60,14.26,1029.75,1089.52,100.00,5336.58
24.75,82636,140.70,14.07,1036.55,1089.52,100.00,5344.59
25.25,82636,144.60,14.46,1028.66,1089.52,99.90,5313.34
25.76,82636,138.50,13.85,1002.19,1089.52,100.00,5305.53
26.26,82636,135.50,13.55,938.53,1089.52,100.00,5300.84
26.77,82636,166.20,16.62,939.20,1089.52,100.00,5305.94
27.27,82636,152.60,15.26,890.75,1089.52,99.90,5276.36
27.78,82636,134.90,13.49,892.22,1089.52,0.00,5285.03
28.28,82636,156.70,15.67,897.81,1089.52,99.90,5292.75
28.79,82636,154.30,15.43,897.61,1089.52,99.80,5280.92
29.29,82636,147.40,14.74,898.14,1089.52,99.80,4792.53
29.79,82636,199.70,19.97,741.52,1089.52,93.80,4311.09
30.30,82636,82.50,8.25,828.77,1089.52,75.30,5306.09
30.80,82636,153.70,15.37,817.00,1089.52,100.00,5298.09
31.31,82636,138.70,13.87,808.00,1089.52,100.00,5315.28
31.81,82636,128.40,12.84,787.78,1089.52,100.00,5317.41
32.32,82636,146.10,14.61,770.69,1089.52,100.00,5303.92
32.82,82636,131.50,13.15,779.95,1089.52,0.00,5308.98
33.33,82636,134.70,13.47,798.48,1089.52,100.00,5323.19
33.83,82636,137.30,13.73,807.00,1089.52,99.80,5323.19
34.34,82636,142.10,14.21,811.97,1089.52,100.00,5316.41
34.84,82636,142.90,14.29,816.25,1089.52,100.00,5325.72
35.35,82636,144.10,14.41,823.81,1089.52,99.90,5305.73
35.85,82636,130.00,13.00,825.03,1089.52,100.00,5321.28
36.36,82636,130.70,13.07,812.39,1089.52,100.00,5332.44
36.86,82636,125.30,12.53,807.58,1089.52,100.00,5315.56
37.37,82636,136.70,13.67,810.31,1089.52,100.00,5312.11
37.87,82636,164.60,16.46,826.41,1089.52,100.00,5334.23
38.38,82636,145.00,14.50,826.70,1089.52,100.00,5324.38
38.88,82636,163.00,16.30,830.64,1089.52,0.00,5324.38
39.38,82636,148.40,14.84,825.70,1089.52,99.90,5313.41
39.89,82636,166.40,16.64,833.34,1089.52,100.00,5313.41
40.39,82636,146.80,14.68,829.95,1089.52,99.90,5307.12
40.90,82636,160.50,16.05,838.66,1089.52,100.00,5318.59
41.40,82636,268.00,26.80,841.22,1089.52,92.10,4602.50
41.91,82636,90.50,9.05,844.27,1089.52,65.50,5019.09
42.41,82636,148.40,14.84,833.02,1089.52,81.30,5297.58
42.92,82636,141.80,14.18,827.95,1089.52,100.00,5314.48
43.42,82636,152.40,15.24,828.42,1089.52,100.00,5334.36
43.93,82636,158.00,15.80,830.62,1089.52,100.00,5333.77
44.43,82636,149.90,14.99,822.53,1089.52,100.00,5323.55
44.94,82636,157.40,15.74,820.80,1089.52,100.00,5313.97
45.45,82636,151.30,15.13,824.17,1089.52,100.00,5332.89
45.95,82636,146.20,14.62,818.17,1089.52,100.00,5304.66
46.45,82636,151.10,15.11,819.17,1089.52,100.00,5302.55
46.96,82636,167.20,16.72,821.44,1089.52,100.00,5315.52
47.46,82636,148.10,14.81,821.17,1089.52,99.90,5318.84
47.97,82636,154.80,15.48,816.03,1089.52,100.00,5321.47
48.47,82636,144.10,14.41,812.34,1089.52,100.00,5313.84
48.98,82636,152.00,15.20,799.50,1089.52,0.00,5318.42
